,MSFT,AAPL,AMZN,FB,BRK-B,GOOG,GOOGL,JPM,JNJ,XOM,V,BAC,INTC,PG,CSCO
MSFT,1.0,0.38928387254119434,0.5896397537923306,0.8431529118179214,0.02520621341948642,0.39291897906031537,0.34070187748705744,0.5740132486873654,0.16082611493836213,-0.07113137253435639,0.9893490645935142,0.2670640271451835,0.19248952384097592,0.8705984227416003,0.7962778286327046
AAPL,0.38928387254119434,1.0,0.7571053871593512,0.49861799387735256,0.5474988895436037,0.5823829773784434,0.5851557658768801,0.7443490294327239,0.2300937534459882,0.5240058469207393,0.3915585926327821,0.5691976584137384,-0.04738378517342992,-0.010788134677696468,0.21127325430046884
AMZN,0.5896397537923306,0.7571053871593512,1.0,0.7633877757776268,0.48793623625766946,0.6945527085131091,0.6829576734518327,0.8301210302859103,0.19525254059448732,0.46746050011273177,0.5887067754681459,0.7280037691064525,0.09889561179840126,0.17896206888631347,0.5379094230033503
FB,0.8431529118179214,0.49861799387735256,0.7633877757776268,1.0,0.11507152405666796,0.657895264038877,0.6237753112412386,0.7007055487213782,0.05033477357230503,0.12884974801980226,0.8522050303330859,0.5925797473391187,0.2980450772323814,0.6461960338197362,0.7590541784609802
BRK-B,0.02520621341948642,0.5474988895436037,0.48793623625766946,0.11507152405666796,1.0,0.21113882734859962,0.2212667767353586,0.6394973550324701,0.5707448773906225,0.6755482746863362,0.009884911306126244,0.5745139204352658,0.03401288151433975,-0.2635929066682258,0.12119560139150742
GOOG,0.39291897906031537,0.5823829773784434,0.6945527085131091,0.657895264038877,0.21113882734859962,1.0,0.9975875947656221,0.5768089277770859,-0.05621406444830336,0.4174165105715133,0.42816256884624,0.7081521116205753,0.47977384799682243,0.16838761261319066,0.3736645060850873
GOOGL,0.34070187748705744,0.5851557658768801,0.6829576734518327,0.6237753112412386,0.2212667767353586,0.9975875947656221,1.0,0.566051080933155,-0.066516839641724,0.43085082710256956,0.37557368313897044,0.7109133117988999,0.46459427112072665,0.11080273514597273,0.32631739088564615
JPM,0.5740132486873654,0.7443490294327239,0.8301210302859103,0.7007055487213782,0.6394973550324701,0.5768089277770859,0.566051080933155,1.0,0.25803203885207904,0.402579881494427,0.5661178933786737,0.7850191937240015,0.06735803073032977,0.21120212013222048,0.466713285630578
JNJ,0.16082611493836213,0.2300937534459882,0.19525254059448732,0.05033477357230503,0.5707448773906225,-0.05621406444830336,-0.066516839641724,0.25803203885207904,1.0,0.5921808427756383,0.12145236533098343,0.13265235132637807,0.1266937264506436,0.06209514898574533,0.3923986357717811
XOM,-0.07113137253435639,0.5240058469207393,0.46746050011273177,0.12884974801980226,0.6755482746863362,0.4174165105715133,0.43085082710256956,0.402579881494427,0.5921808427756383,1.0,-0.06245505903290796,0.580869597529404,0.3602915355947583,-0.3286916424041273,0.26826221382926485
V,0.9893490645935142,0.3915585926327821,0.5887067754681459,0.8522050303330859,0.009884911306126244,0.42816256884624,0.37557368313897044,0.5661178933786737,0.12145236533098343,-0.06245505903290796,1.0,0.2919611200930507,0.2329524854378397,0.8773522557489397,0.7915027865437787
BAC,0.2670640271451835,0.5691976584137384,0.7280037691064525,0.5925797473391187,0.5745139204352658,0.7081521116205753,0.7109133117988999,0.7850191937240015,0.13265235132637807,0.580869597529404,0.2919611200930507,1.0,0.3384817596326996,-0.025406161107617318,0.3886960505803893
INTC,0.19248952384097592,-0.04738378517342992,0.09889561179840126,0.2980450772323814,0.03401288151433975,0.47977384799682243,0.46459427112072665,0.06735803073032977,0.1266937264506436,0.3602915355947583,0.2329524854378397,0.3384817596326996,1.0,0.3160856656167003,0.4982150264497703
PG,0.8705984227416003,-0.010788134677696468,0.17896206888631347,0.6461960338197362,-0.2635929066682258,0.16838761261319066,0.11080273514597273,0.21120212013222048,0.06209514898574533,-0.3286916424041273,0.8773522557489397,-0.025406161107617318,0.3160856656167003,1.0,0.7227347482159263
CSCO,0.7962778286327046,0.21127325430046884,0.5379094230033503,0.7590541784609802,0.12119560139150742,0.3736645060850873,0.32631739088564615,0.466713285630578,0.3923986357717811,0.26826221382926485,0.7915027865437787,0.3886960505803893,0.4982150264497703,0.7227347482159263,1.0
